1,"Mobile Phone","A device used for wireless communication over cellular networks."
2,"Laptop Computer","A portable computer designed to be mobile, with a built-in screen, keyboard, and battery."
3,"Headphones","An electroacoustic transducer that converts an electrical signal into a corresponding sound, worn over the head or in the ears."
4,"Smartwatch","A wearable device that can provide information, notifications, and perform various tasks through a touch screen or voice commands."
5,"Bluetooth Speaker","A portable wireless speaker that connects to devices through Bluetooth technology and plays music or other audio content."
6,"Tablet Computer","A mobile device with a touchscreen display, equipped with a battery, a circuit board, and various internal components, usually larger than a smartphone."
7,"Modern Glass Pendant Light","This modern glass pendant light is perfect for adding a touch of style to your home decor. The sleek design and high-quality glass make it the perfect addition to any room."
8,"Artisanal Wooden Bowl","This artisanal wooden bowl is perfect for serving your favorite snacks or as a decorative piece. The unique design and high-quality wood make it a great addition to your kitchen or living room."
9,"Vintage Brass Candlestick Holder","This vintage brass candlestick holder is a great way to add a touch of elegance to your home decor. The high-quality brass and unique design make it a great investment piece."
10,"Handmade Leather Journal","This handmade leather journal is perfect for keeping track of your thoughts and ideas. The high-quality leather and unique design make it a great investment piece."
11,"Rustic Wooden Picture Frame","This rustic wooden picture frame is perfect for displaying your favorite memories. The unique design and high-quality wood make it a great addition to your home decor."
12,"Vintage Ceramic Flower Pot","Add a touch of charm to your garden or home decor with this vintage ceramic flower pot. The beautiful design and high-quality ceramic make it a great investment piece."
13,"Handcrafted Silver Necklace","This handcrafted silver necklace is perfect for adding a touch of elegance to any outfit. The unique design and high-quality silver make it a great investment piece."
14,"Antique Brass Table Lamp","This antique brass table lamp is perfect for adding a touch of vintage charm to your home. The high-quality brass and unique design make it a great investment piece."
15,"Handwoven Cotton Pillow Cover","This handwoven cotton pillow cover is perfect for adding a touch of texture to your home decor. The high-quality cotton and unique design make it a great investment piece."
16,"Modern Ceramic Vase","This modern ceramic vase is perfect for adding a touch of style to your home decor. The sleek design and high-quality ceramic make it the perfect centerpiece for any room."
17,"Artisanal Wooden Cutting Board","This artisanal wooden cutting board is perfect for preparing your favorite foods or as a decorative piece. The unique design and high-quality wood make it a great investment piece."
18,"Vintage Glass Pitcher","Add a touch of elegance to your table setting with this vintage glass pitcher. The beautiful design and high-quality glass make it a great investment piece."
19,"Handcrafted Copper Bracelet","This handcrafted copper bracelet is perfect for adding a touch of elegance
20,"Handmade Ceramic Bowl Set","This handmade ceramic bowl set is perfect for serving your favorite dishes or as a decorative piece. The unique design and high-quality ceramic make it a great addition to your kitchen or dining room."
